
336 -18,12877
336,048 2,591543
336,0511 13,72251
336,054 12,35802
336,0571 27,52398
336,0601 14,20885
336,063 20,34056
336,0661 8,913029
336,0691 19,00892
336,0721 15,21258
336,0751 28,37097
336,0781 17,87463
336,0811 22,98924
336,0841 21,31886
336,0871 28,47825
336,0901 16,73496
336,0931 18,1112
336,0961 19,64447
336,0991 27,65061
336,1021 20,33389
336,1051 44,18386
336,1081 23,83706
336,1111 19,2932
336,1141 36,07859
336,1171 32,13344
336,1201 30,84179
336,1231 29,94194
336,1261 28,28098
336,1291 35,63387
336,1321 43,04539
336,1351 44,11379
336,1382 55,52098
336,1411 41,82336
336,1441 61,01046
336,1472 46,6103
336,1501 40,9515
336,1532 44,41957
336,1562 46,67496
336,1591 52,31149
336,1622 50,25212
336,1652 55,29863
336,1682 54,36664
336,1712 44,08072
336,1742 71,00323
336,1772 49,30531
336,1802 49,45528
336,1832 57,45094
336,1862 56,77593
336,1892 64,95889
336,1922 59,32995
336,1952 57,19143
336,1982 71,94848
336,2012 80,8986
336,2042 58,22771
336,2072 71,46278
336,2102 77,63373
336,2132 76,97925
336,2162 64,33196
336,2192 79,25589
336,2222 67,04721
336,2252 86,57188
336,2282 85,07142
336,2312 81,07722
336,2342 84,01608
336,2372 86,77113
336,2402 90,62534
336,2433 91,02773
336,2462 96,36741
336,2492 86,86888
336,2523 87,23141
336,2552 74,86417
336,2583 96,67777
336,2613 100,2844
336,2643 94,02599
336,2673 102,4076
336,2703 88,06002
336,2733 103,7375
336,2763 108,2374
336,2793 118,2541
336,2823 99,49519
336,2853 104,8158
336,2883 96,84263
336,2913 110,2209
336,2943 109,9059
336,2973 113,2743
336,3003 103,1871
336,3033 116,5778
336,3063 116,6772
336,3093 112,0206
336,3123 116,0314
336,3153 112,7844
336,3183 122,146
336,3213 109,939
336,3243 123,4595
336,3273 134,228
336,3303 140,8179
336,3333 135,6065
336,3363 138,6049
336,3393 142,8762
336,3423 142,4335
336,3453 146,1875
336,3484 140,9556
336,3513 133,6087
336,3543 144,5057
336,3574 145,7298
336,3604 144,7915
336,3634 157,8083
336,3664 161,1398
336,3694 165,0584
336,3724 152,7404
336,3754 162,7223
336,3784 162,2796
336,3814 169,7879
336,3844 165,8586
336,3874 174,5574
336,3904 173,7559
336,3934 174,3647
336,3964 180,9356
336,3994 185,8228
336,4024 183,0465
336,4054 181,0811
336,4084 187,3766
336,4114 183,2437
336,4144 194,6566
336,4174 195,038
336,4204 198,4334
336,4234 231,4911
336,4264 202,1007
336,4294 201,5551
336,4324 204,7338
336,4354 198,6309
336,4384 226,8866
336,4414 214,7251
336,4445 225,8779
336,4474 224,366
336,4504 228,8217
336,4535 223,7072
336,4565 229,4373
336,4595 238,8688
336,4625 249,4539
336,4655 223,4294
336,4685 252,5568
336,4715 245,6158
336,4745 258,906
336,4775 252,2313
336,4805 256,9168
336,4835 255,9045
336,4865 258,3228
336,4895 269,7339
336,4925 262,0511
336,4955 277,959
336,4985 273,4273
336,5015 268,4069
336,5045 291,0898
336,5075 297,8584
336,5105 284,1436
336,5135 283,0166
336,5165 312,349
336,5195 300,8524
336,5225 296,8749
336,5255 296,7471
336,5285 312,8099
336,5315 322,1207
336,5345 335,4596
336,5375 308,3656
336,5405 345,1789
336,5435 351,6588
336,5465 330,9387
336,5496 331,2738
336,5526 339,5703
336,5555 351,3181
336,5586 363,0431
336,5616 352,8283
336,5646 369,844
336,5676 359,2498
336,5706 362,0598
336,5736 376,617
336,5766 388,0472
336,5796 383,522
336,5826 371,2133
336,5856 406,0942
336,5886 404,2663
336,5916 409,2206
336,5946 412,8606
336,5976 403,8286
336,6006 424,657
336,6036 416,2683
336,6066 435,3969
336,6096 418,806
336,6126 451,0477
336,6156 456,1069
336,6186 459,4722
336,6216 455,1236
336,6246 475,7193
336,6276 465,914
336,6306 482,472
336,6336 463,4216
336,6366 487,4356
336,6396 491,849
336,6426 502,6043
336,6457 499,15
336,6487 529,1367
336,6516 514,3947
336,6547 506,0465
336,6577 530,3284
336,6607 531,9899
336,6637 548,629
336,6667 545,1371
336,6697 551,6469
336,6727 556,2093
336,6757 558,7598
336,6787 580,5358
336,6817 584,9675
336,6847 602,4037
336,6877 592,7
336,6907 603,4927
336,6937 607,3234
336,6967 623,7458
336,6997 619,2479
336,7027 645,3987
336,7057 645,0509
336,7087 664,5741
336,7117 661,2725
336,7147 660,7288
336,7177 700,5998
336,7207 687,9536
336,7237 701,5889
336,7267 711,5049
336,7297 718,4777
336,7327 725,307
336,7357 736
336,7387 756,1457
336,7417 743,5455
336,7448 752,1404
336,7477 768,0378
336,7508 782,6288
336,7538 792,2009
336,7567 803,4872
336,7598 828,2372
336,7628 826,1827
336,7658 839,7184
336,7688 839,4
336,7718 865,8459
336,7748 870,3653
336,7778 877,0117
336,7808 903,7665
336,7838 913,1451
