
336 -4,122379
336,1081 12,42755
336,1111 1,081277
336,1141 14,19633
336,1171 15,72973
336,1201 12,00191
336,1231 -19,55571
336,1261 -1,576969
336,1291 3,476451
336,1321 15,1717
336,1351 22,67793
336,1382 7,91415
336,1411 11,54653
336,1441 28,45696
336,1472 16,71093
336,1501 1,075277
336,1532 0,6808386
336,1562 22,60925
336,1591 23,34173
336,1622 -2,682512
336,1652 21,04506
336,1682 29,73603
336,1712 26,79446
336,1742 21,71471
336,1772 24,5006
336,1802 19,60099
336,1832 14,92088
336,1862 14,56346
336,1892 17,34152
336,1922 21,25061
336,1952 24,56748
336,1982 20,60754
336,2012 5,972346
336,2042 12,60949
336,2072 25,28065
336,2102 22,03616
336,2132 23,0219
336,2162 25,43948
336,2192 16,8917
336,2222 37,99178
336,2252 -13,05979
336,2282 38,16768
336,2312 25,91336
336,2342 32,87
336,2372 41,11973
336,2402 30,87424
336,2433 29,52722
336,2462 15,1734
336,2492 21,45367
336,2523 30,5623
336,2552 65,67481
336,2583 14,85146
336,2613 43,56619
336,2643 45,96889
336,2673 23,40746
336,2703 39,88557
336,2733 35,99276
336,2763 24,5131
336,2793 32,99462
336,2823 33,4914
336,2853 34,81806
336,2883 36,31829
336,2913 51,02916
336,2943 31,48024
336,2973 34,21494
336,3003 52,85982
336,3033 32,56721
336,3063 38,04278
336,3093 43,6043
336,3123 37,53162
336,3153 27,09717
336,3183 39,40704
336,3213 50,74278
336,3243 36,42567
336,3273 42,78482
336,3303 51,3173
336,3333 39,34402
336,3363 36,68607
336,3393 39,38947
336,3423 50,0858
336,3453 48,45779
336,3484 38,82646
336,3513 46,08575
336,3543 39,9127
336,3574 58,30404
336,3604 49,11207
336,3634 52,09819
336,3664 43,87417
336,3694 58,28688
336,3724 65,19356
336,3754 40,6739
336,3784 41,45517
336,3814 65,60812
336,3844 49,60514
336,3874 49,9507
336,3904 54,95831
336,3934 47,87549
336,3964 58,52696
336,3994 57,52373
336,4024 69,38574
336,4054 59,58073
336,4084 44,93018
336,4114 62,73765
336,4144 76,29713
336,4174 52,05632
336,4204 44,1398
336,4234 58,59392
336,4264 41,64376
336,4294 79,41089
336,4324 64,24025
336,4354 70,36665
336,4384 60,71143
336,4414 74,72099
336,4445 75,16661
336,4474 66,86441
336,4504 53,50126
336,4535 69,7228
336,4565 76,29688
336,4595 70,38969
336,4625 83,27115
336,4655 89,46155
336,4685 83,13737
336,4715 70,2716
336,4745 84,5705
336,4775 81,50422
336,4805 81,90243
336,4835 96,08762
336,4865 90,30724
336,4895 80,13615
336,4925 95,69137
336,4955 84,21911
336,4985 91,88261
336,5015 75,24659
336,5045 86,77742
336,5075 92,83527
336,5105 94,92492
336,5135 100,6259
336,5165 89,06316
336,5195 86,20144
336,5225 110,3809
336,5255 111,9466
336,5285 92,68444
336,5315 108,4311
336,5345 104,4215
336,5375 101,8697
336,5405 105,8381
336,5435 121,4953
336,5465 105,8803
336,5496 92,81627
336,5526 101,6146
336,5555 114,7837
336,5586 117,8222
336,5616 108,545
336,5646 100,7434
336,5676 95,71258
336,5706 105,5021
336,5736 112,7242
336,5766 90,97677
336,5796 102,3539
336,5826 120,1121
336,5856 125,7055
336,5886 115,7411
336,5916 114,569
336,5946 119,4034
336,5976 123,4072
336,6006 127,6525
336,6036 122,2518
336,6066 142,1112
336,6096 131,2341
336,6126 152,0787
336,6156 150,0095
336,6186 136,518
336,6216 145,6409
336,6246 133,6486
336,6276 159,2335
336,6306 137,8206
336,6336 140,5989
336,6366 149,3549
336,6396 164,6434
336,6426 149,1952
336,6457 151,0738
336,6487 148,89
336,6516 161,6957
336,6547 163,6706
336,6577 161,3642
336,6607 148,2118
336,6637 146,1615
336,6667 174,1785
336,6697 155,9892
336,6727 187,8721
336,6757 165,0351
336,6787 187,0405
336,6817 171,2348
336,6847 179,3635
336,6877 199,9807
336,6907 173,3497
336,6937 181,5251
336,6967 184,8175
336,6997 189,0204
336,7027 176,9647
336,7057 189,0949
336,7087 201,3399
336,7117 195,3546
336,7147 200,9669
336,7177 192,1283
336,7207 222,9666
336,7237 217,3323
336,7267 219,209
336,7297 216,7941
336,7327 212,0748
336,7357 222,5439
336,7387 230,2862
336,7417 226,0124
336,7448 251,6701
336,7477 212,9484
336,7508 240,623
336,7538 238,979
